block,phase,trial,image_path,study_fixation_onset_trigger,study_fixation_offset_trigger,fixation_duration,study_image_onset_trigger,study_image_offset_trigger,image_duration
9,study,4,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FRUIT\Strawberry\Image_049.jpg,1771261792.1062949,1771261792.3873763,0.2650013177135822,1771261792.4620073,1771261793.4730337,1.0
9,study,5,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallobject\Envelope\Image_075.jpg,1771261793.5029376,1771261793.842925,0.31970131671114643,1771261794.2111285,1771261795.2340817,1.0
9,study,6,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEHICLE\cruiseship\Image_096.jpg,1771261795.2661614,1771261795.8744621,0.5843947410260573,1771261795.9425178,1771261796.9570043,1.0
9,study,7,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEGETABLE\Squash\Image_090.jpg,1771261796.9841068,1771261797.60245,0.595120880692403,1771261797.6710813,1771261798.6912353,1.0
9,study,8,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\BIRD\Flamingo\Image_023.jpg,1771261798.7190623,1771261799.055332,0.3149474511376982,1771261799.1048477,1771261800.119499,1.0
9,study,9,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\INSECT\Wasp\Image_060.jpg,1771261800.149059,1771261800.5971444,0.4286124757944502,1771261800.7028224,1771261801.722621,1.0
9,study,10,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\bigobject\Mailbox\Image_019.jpg,1771261801.7510698,1771261802.0998218,0.326963703962965,1771261802.28049,1771261803.30554,1.0
10,study,1,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEHICLE\Helicopter\Image_097.jpg,1771261911.1859608,1771261911.6015537,0.3861235251291579,1771261911.695741,1771261912.7078733,1.0
10,study,2,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEGETABLE\Bean\Image_085.jpg,1771261912.7345421,1771261913.0295575,0.2716386821029806,1771261913.0889914,1771261914.1059532,1.0
10,study,3,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallanimal\Cat\Image_062.jpg,1771261914.1321733,1771261914.6274438,0.4714027786376351,1771261914.6896782,1771261915.7079086,1.0
10,study,4,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallobject\Blender\Image_073.jpg,1771261915.7385974,1771261916.3298757,0.573908002732828,1771261916.4064283,1771261917.424326,1.0
10,study,5,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\BIRD\Penguin\Image_030.jpg,1771261917.4525678,1771261917.8263092,0.3556861189469172,1771261917.8599458,1771261918.8723872,1.0
10,study,6,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\bigobject\Bench\Image_012.jpg,1771261918.901248,1771261919.4638367,0.5413909100784465,1771261919.5829825,1771261920.6032443,1.0
10,study,7,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\biganimal\Walrus\Image_009.jpg,1771261920.632123,1771261921.2009513,0.53818169720746,1771261921.283168,1771261922.307324,1.0
10,study,8,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\INSECT\Bug\Image_054.jpg,1771261922.3361394,1771261922.8294733,0.4727221056451095,1771261922.8792717,1771261923.8925607,1.0
10,study,9,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FRUIT\Watermelon\Image_050.jpg,1771261923.919296,1771261924.592921,0.6513282867442018,1771261924.6562986,1771261925.6743348,1.0
10,study,10,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FOOD\Pasta\Image_037.jpg,1771261925.7027533,1771261926.4657936,0.7440622011390414,1771261926.5395365,1771261927.5568345,1.0
